OTUs,ES_001t,ES_007t,ES_010t,ES_014t,ES_017t,ES_019t,ES_024t,ES_043t,ES_046t,ES_048t,ES_069t,ES_080t,ES_088t,ES_089t,ES_095t,ES_099t,ES_104t,ES_106t,ES_107t,ES_108t,ES_110t,ES_114t,ES_116t,ES_132t,ES_137t,ES_147t,ES_158t,ES_207t,ES_208t,ES_209t,ES_210t,ES_211t
202,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1
203,0,1,0,0,3,0,4,0,0,0,0,1,0,0,0,0,3,3,0,0,6,1,3,1,0,0,7,0,5,0,2,0
204,0,6,2,5,4,11,356,35,12,2,2,93,1,3,2,0,28,101,24,27,33,56,133,5,183,23,4,1,3,57,11,2
205,1,3,0,1,1,2,14,2,2,0,1,1,1,2,0,0,1,15,14,2,10,4,2,0,2,0,1,1,3,9,1,0
206,1,2,0,0,0,1,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
207,3,35,3,15,11,157,146,78,148,0,4,17,1,10,0,0,32,76,99,7,26,44,172,1,84,2,20,1,12,10,11,0
208,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,2,2,1,0,35,0,0,0,1,1,0,0
209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,5,4,1,10,2,3,0,1,0,0,0,1,6,1,0
212,0,3,1,0,0,0,0,0,1,0,5,0,0,1,1,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0
213,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,9,1,0,4,0,0,0,35,0,0,0,1,0,0,0
214,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,0,139,1,11,30,43,617,65,202,2,5,5,0,179,4,4,88,8,2429,11,281,37,15,2,572,9,5,2,19,14,0,4
217,0,0,0,3,3,0,2,0,0,0,9,2,1,0,0,0,4,0,1,12,21,7,0,0,0,0,1,6,0,0,1,0
218,0,2,1,0,0,1,10,3,0,0,2,0,7,7,0,0,0,9,12,0,0,0,0,0,1,1,16,0,2,0,2,0
219,5,0,0,0,0,0,28,0,3,0,0,0,0,0,0,0,0,1,0,1,2,0,3,0,2,0,0,1,5,7,0,0
220,0,0,0,0,0,0,0,1,0,0,0,6,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0
221,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,3,0,0,0,0,0,1,0,3,0,0,1
222,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,0,2,0,2,1,0,4,0,0,0,1,0,2,1,0,0,0,2,3,4,1,18,4,0,0,2,0,0,6,2,1,0
224,0,1,0,0,0,0,3,1,1,0,0,6,0,2,0,0,0,3,5,2,5,2,4,0,1,0,6,1,1,4,0,0
225,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,4,0,0,0,0,0,1,0,0,0,2,0
226,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0
227,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
228,71,4,4,4,0,2,37,12,2,0,6,1,1,4,5,0,1,7,24,37,2,3,6,4,4,1,24,5,6,4,5,1
229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
230,1,0,6,4,0,0,7,8,0,2,9,1,0,7,0,0,4,3,4,5,7,6,4,2,3,1,9,4,6,7,3,2
231,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
232,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
233,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,0,3,2,1,0,0,0,4,0,1,0,4,0
234,1,3,0,4,0,0,1,0,0,0,31,1,1,0,0,1,0,3,1,29,3,0,0,3,1,3,1,1,0,3,1,1
235,12,0,2,17,38,19,45,31,5,2,1,346,9,5,3,24,86,225,1062,8,695,274,287,18,37,38,345,9,216,317,184,36
236,0,1,0,1,0,0,6,0,0,0,0,1,0,1,0,0,1,0,5,1,12,10,13,1,0,2,2,0,0,6,2,0
237,0,0,1,2,0,0,1,1,0,0,5,0,2,0,1,1,4,1,1,10,0,5,1,1,0,1,6,1,0,0,0,1
238,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,4,5,0,4,1,1,0,0,0,9,0,1,0,0,0
239,2,4,0,2,4,1,22,4,6,0,0,1,0,1,0,1,1,3,4,0,4,1,0,1,7,2,1,0,0,2,0,0
240,614,919,1595,1113,247,168,571,1703,93,184,2083,637,57,1534,595,5,576,1487,127,532,1,523,511,366,692,34,1969,2060,35,730,165,126
241,255,362,535,360,123,9,233,635,199,4,862,14,1962,642,239,1322,249,680,64,1618,226,201,213,135,232,174,5664,805,3734,252,310,570
242,2,2,5,4,0,2,3,3,0,1,4,2,0,6,0,1,0,1,1,3,4,5,3,0,1,1,5,4,1,2,0,0
243,2,1,1,3,1,1,3,1,0,0,5,0,1,0,2,3,1,7,4,8,3,5,1,0,6,0,2,1,1,7,3,0
244,1,6,8,10,0,0,6,7,0,2,16,1,6,5,1,0,4,17,13,9,13,8,7,1,2,2,5,6,3,18,9,1
245,2,123,6,54,32,164,1042,142,265,5,10,74,6,14,1,4,148,226,438,44,177,543,151,34,163,14,81,3,29,62,81,6
246,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
247,0,0,0,2,0,0,1,3,0,0,0,4,0,0,0,0,1,1,3,2,2,2,2,4,0,0,3,0,2,0,0,1
248,14,19,33,31,2,0,52,48,7,6,38,19,9,22,19,15,22,22,4,28,27,37,9,14,20,1,85,40,22,30,14,7
249,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,2,0,0,1
251,7,11,14,10,0,1,13,5,4,0,171,3,10,25,3,4,8,8,17,121,4,19,52,11,86,20,4,1,4,15,0,0
252,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
253,2,2,3,4,0,4,11,2,0,1,11,4,4,2,1,1,0,4,10,12,7,7,13,1,6,0,8,3,5,8,1,3
254,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
255,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,3,1,7,19,1,12,2,17,1,0,1,24,0,6,2,2,1
256,1,1,0,0,1,1,1,0,0,0,0,4,0,0,0,0,0,5,4,1,7,2,6,0,0,0,12,0,0,6,0,0
257,0,9,1,3,1,17,58,9,13,0,1,17,0,2,0,0,3,33,20,8,13,12,32,2,24,1,9,1,2,4,4,1
258,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
259,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,3,1,0,4,2,0,0
260,0,0,0,0,1,0,2,0,1,0,0,2,0,0,0,0,1,0,1,0,2,2,0,0,0,0,2,0,1,0,0,0
261,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,6,6,1,2,2,2,0,6,0,3,0,0,2,2,1
262,0,0,0,3,2,0,0,2,1,0,0,13,0,0,0,0,16,8,18,1,7,28,7,1,2,1,19,0,1,4,2,2
263,315,975,7115,1671,146,467,217,1093,526,339,15094,640,1327,7951,769,118,1696,6063,129,14617,13,430,1063,1794,3848,1438,342,3977,527,1441,676,459
264,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
265,16,0,0,30,0,14,15,9,20,1,27,29,0,20,2,0,7,3,591,15,163,974,4,206,32,1,226,5,161,0,45,8
266,1,0,0,0,5,5,32,11,1,23,1,55,0,1,4,0,8,17,5,3,33,8,1,3,7,0,15,0,15,1,8,2
267,1,23,20,20,4,4,1,12,0,0,9,2,1,3,0,1,2,2,28,7,22,2,11,0,1,1,42,15,6,16,0,8
268,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,2,9,1,3,10,3,0,3,0,0,0,0,3,3,0
269,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,1,0,0,10,0,2,2,0,0,1,0,1,0,0,1
270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0
271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,7,7,0,0,0,0,0,0,0,0,0,0
272,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,3,0,0,1,0,0
273,0,1,194,139,124,155,979,6,52,6,4,374,125,6,129,350,3507,1311,632,97,3527,155,275,2,43,4,16862,215,16281,467,1789,550
274,16,27,5,78,2,5,4,11,3,11,59,2,1,2,2,0,5,5,1,37,4,5,6,3,3,4,12,4,6,8,0,1
275,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,3,1,0,0,0,0,0,0,0,0,0,0
277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,1,0,2,0,1,3,0,0,0,0,1,0,0,0
280,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,1,16,0,16,0,2,0,0,0,4,0,5,4,3,4
281,0,1,2,3,3,0,8,0,1,0,0,8,1,1,1,4,21,21,8,5,21,4,3,0,0,0,69,3,29,4,3,0
282,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,1,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,8,0,0,0,0,0
286,4,1,1,0,1,0,4,10,0,0,0,11,0,0,0,0,5,15,5,3,35,19,15,6,14,0,9,0,7,6,13,0
287,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
289,2,0,0,1,0,1,0,2,0,0,0,4,0,1,0,0,4,3,4,3,12,5,2,0,0,2,6,1,2,2,1,2
290,1,4,4,10,2,6,26,524,0,1,12,5,1,14,2,1,1,8,9,1,8,15,3,1,2,1,3,14,11,33,8,2
291,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
293,3,6,5,7,3,1,20,19,6,1,13,6,6,11,5,6,15,24,12,6,12,19,18,3,5,0,31,13,7,13,3,4
294,1,5,7,4,1,1,14,14,1,1,1,118,1,1,1,2,36,87,11,5,56,13,14,2,16,2,46,23,59,20,28,5
295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
296,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,0,23,1,12,4,19,127,21,25,0,2,26,1,2,0,2,8,38,41,10,41,27,32,2,45,5,8,0,1,5,6,0
298,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,7,1,1,0,12,0,11,0,1,0,2,1,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,1,0,0,1,0,0
301,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
302,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
303,5,37,37,458,63,81,64,7,23,46,9,9,32,31,35,55,9,3,9,370,4,18,5,25,20,13,21,31,6,31,11,73
304,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,1,0,1,0,0
305,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,3,0,4,1,0,0,1,0,6,1,3,2,2,0
306,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,3,0,0
307,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,3,3,0,7,15,1,0,0,0,4,0,3,2,0,0
308,0,3,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,13,0,1,2,2,1,0,2,0,0,0,1,3,0,8
309,6657,3,0,0,0,0,0,0,0,0,351,1,0,0,0,1,0,0,0,9,3,0,2,1,0,22,3,0,1,1,1,0
310,5,3,5,1,3,3,5,4,2,4,0,2,5,1,1,2,1,1,76,5,1,1,0,1,1,1,1,0,1,612,1,0
311,86,46,50,56,56,32,94,96,28,20,20,18,42,33,25,35,13,7,11,63,32,15,8,53,33,20,9,31,14,24,22,31
312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0
313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
314,0,9,26,11,4,2,10,1,1,4,8,0,11,21,1,0,7,10,13,13,4,1,17,2,8,4,9,15,23,7,2,1
315,1,0,0,0,0,0,1,6,0,0,0,6,0,1,0,0,5,7,1,1,14,7,1,1,5,0,19,0,6,0,4,0
316,0,0,0,3,0,1,7,3,6,0,0,2,0,1,0,1,4,21,9,2,7,22,31,0,22,3,1,0,3,6,2,0
317,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
318,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,6,0,10,1,0,0,1,0,13,0,5,2,1,0
320,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,4,0,0,0,9,0,1,0,3,0
321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,0,4,1,2,1,0,0,6,0,0,188,0,0,4,1,0,5,9,3,251,12,4,0,39,2,77,14,3,22,4,1,119
323,0,0,0,2,3,2,3,1,2,0,130,3,0,1,0,0,4,5,3,248,8,2,2,18,0,28,5,4,9,6,1,4
324,0,20,3,5,4,3,36,32,5,2,3,60,2,10,0,1,11,37,33,17,33,62,131,5,112,9,27,1,15,19,10,0
325,2,14,20,26,0,20,14,11,9,1,50,4,3,18,6,1,3,51,9,14,3,8,9,3,0,0,2,6,7,2,1,0
326,1,16,3,4,5,24,189,38,12,4,6,131,1,8,0,4,29,91,64,41,48,120,132,2,194,34,27,1,21,38,19,5
327,1,4,0,5,2,1,1,1,1,0,5,2,0,0,1,1,3,1,3,5,9,0,5,0,1,1,1,1,2,0,1,1
328,0,2,0,2,0,0,3,1,1,2,0,11,1,0,1,4,16,44,25,1,40,21,20,1,7,0,12,0,7,3,10,4
329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
330,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,2,0,8,0,1,0,0,0,4,0,1,1,3,0
331,2,20,164,31,6,16,3,20,14,9,273,23,25,115,11,3,50,194,1,470,2,15,36,47,110,39,13,120,8,40,25,22
332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
333,0,0,0,2,3,1,11,1,1,0,1,23,1,0,0,6,20,16,6,0,7,2,5,0,1,0,48,4,108,8,11,3
334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,2,0,0,0
335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
337,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
338,0,0,0,1,0,0,7,2,1,1,2,0,0,0,0,1,0,11,2,3,7,6,13,1,3,0,0,0,2,2,3,0
339,1,1,1,0,0,5,10,4,1,0,1,2,0,0,0,0,9,9,22,1,19,5,14,2,7,0,4,0,1,12,4,0
340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
341,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,4,1,3,4,2,5,3,17,0,0,0,34,0,1,1,1,11,28,10,3,61,34,20,2,11,0,52,0,17,9,19,0
343,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13,0,2,0,1,0,2,0,0,0,2,1,0
344,0,0,0,257,1,119,62,115,148,2,1,687,38,9,21,73,149,5096,2670,0,2062,528,697,20,144,8,2258,110,1700,371,2215,13
345,107,44,70,68,71,58,98,66,32,19,20,25,35,9,4,41,10,4,7,43,26,11,13,31,33,24,18,15,21,39,16,18
346,229,34,767,196,36,14,142,168,117,13,32,61,22,18,23,18,27,11,51,81,135,18,15,90,245,53,486,53,66,58,59,65
347,22,45,42,48,13,6,45,68,6,4,51,31,26,75,26,14,30,44,11,42,18,39,27,14,22,2,161,78,45,25,13,25
348,0,0,4,1,3,1,9,1,0,0,0,12,2,1,1,5,27,21,25,2,38,28,7,2,3,1,62,0,60,5,6,4
349,2,8,0,7,3,15,88,12,21,0,2,7,0,2,1,2,11,22,18,6,5,13,7,1,9,0,5,0,0,9,6,1
350,140,25,156,104,38,41,85,323,10,36,267,95,127,273,60,57,3,164,1,365,3,95,122,1,3,3,564,183,148,182,27,137
351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
352,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0
353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1
354,0,0,0,2,0,0,0,4,0,0,0,6,0,0,0,1,17,11,60,0,24,3,67,1,9,1,15,0,10,3,11,4
355,0,1,0,0,3,0,1,0,0,0,0,3,0,0,0,0,5,1,2,0,7,1,0,0,0,0,2,1,1,3,1,3
356,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,1,0,0
357,0,0,0,0,0,1,0,1,0,1,0,64,0,0,0,0,0,0,1,0,0,0,1,0,0,1,23,0,0,8,0,0
358,60,20,24,23,31,23,44,55,124,6,14,13,15,13,13,16,2,2,8,26,4,8,3,14,9,5,7,12,10,16,10,9
359,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
361,0,0,5,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,10,1,3,8,2,0,0,0,1,0,0,3,0,1
362,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
363,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,0,0,5,2,0,0,0,0,1,0,1,1,0,2
364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0
365,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,5,1,0,1,1,1,0,0,1,0,0,0,0,0
366,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,4,2,0,2,0,0,0,0,1,0,0
367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
368,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,15,0,20,6,4,0,3,0,3,0,0,2,7,0
369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
370,0,0,1,1,0,0,1,0,1,0,0,5,1,2,0,0,13,4,1,0,8,1,1,0,0,0,3,5,17,20,0,0
371,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,3,1,0,0,1,0,0,0,0,0,0
372,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,4,2,0,4,0,4,0,1,2,9,2,5,4,2,1
373,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,4,8,8,17,0,4,1,2,1,1,0,11,0,10,4,3,0
374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
375,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,3,2,0,1,0,0,0,0,0,0,0,1,3,0,0
376,0,0,0,0,0,0,0,5,0,2,0,6,1,0,0,9,2,7,0,1,1,4,0,1,1,0,4,0,4,1,5,0
377,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,2,8,0,4,2,1,0,0,0,1,0,0,2,0,1
378,0,0,4,3,1,1,2,20,2,0,3,1,0,1,1,0,0,3,5,5,0,1,2,2,1,0,10,0,0,6,0,1
379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
380,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
381,0,3,0,1,0,0,4,15,0,0,1,1,1,8,5,3,0,3,0,0,0,1,1,0,1,0,10,4,0,4,0,0
382,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
385,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,8,1,0,0,0,0,0,0,0,3,1,0
386,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
389,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,2,2,3,8,1,5,3,2,0,1,0,0,0,3,2,2,0
390,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391,0,0,7,0,0,1,0,0,0,0,0,0,2,0,0,1,9,4,0,1,6,2,0,0,0,0,19,0,24,1,0,0
392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
393,0,0,5,2,5,2,9,0,2,0,0,9,0,0,4,5,43,23,7,0,34,9,6,0,1,0,115,2,88,2,7,9
394,5,20,1,10,8,7,368,524,41,6,2,816,2,20,5,66,202,483,14,3,741,255,113,12,141,0,739,2,547,15,296,4
395,3565,27,43,24,8,28,47,35,10,14,24,8,4,11,10,26,87,22,21,9,4,38,11,9,17,1,31,12,15,19,6,0
396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,2
397,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,2,1,1,0,0,0
398,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
400,0,1,0,3,2,2,9,17,0,2,1,35,2,0,0,0,11,17,29,2,29,13,29,1,12,0,86,0,53,9,24,3
401,0,0,1,1,1,1,7,23,2,1,1,37,0,2,2,0,9,21,24,4,27,16,11,3,6,0,21,1,10,4,7,3
402,0,0,6,6,1,0,8,2,0,3,4,0,0,1,2,0,2,3,7,7,3,6,3,1,3,1,0,2,3,2,3,0
403,3,1,2,2,0,1,1,4,2,0,12,0,1,7,1,1,0,6,0,2,2,4,5,0,1,0,10,0,2,1,1,0
404,2,1,4,2,0,2,2,1,4,1,2,1,1,5,0,2,0,2,1,2,1,2,4,1,1,0,4,4,1,3,0,0
405,4,9,6,11,2,1,4,18,4,1,31,4,6,7,1,4,9,14,1,21,6,9,6,2,5,2,31,9,2,5,4,3
406,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,2,0,3,2,1,0,0,0,0,0,0,1,0,0
407,14,1,12,2,1,0,6,5,1,1,35,7,0,9,4,0,6,31,3,33,13,24,7,2,2,2,4,7,3,3,2,4
408,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5,1,3,1,0,0,0,0,7,6,4,4,1,0
409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0
