OTUs,ES_001t,ES_007t,ES_010t,ES_014t,ES_017t,ES_019t,ES_024t,ES_043t,ES_046t,ES_048t,ES_069t,ES_080t,ES_088t,ES_089t,ES_095t,ES_099t,ES_104t,ES_106t,ES_107t,ES_108t,ES_110t,ES_114t,ES_116t,ES_132t,ES_137t,ES_147t,ES_158t,ES_207t,ES_208t,ES_209t,ES_210t,ES_211t
109,1,29,1,15,5,21,221,8,40,1,3,25,1,5,0,0,17,47,45,10,18,68,53,8,48,11,4,2,16,16,8,0
110,0,0,4,0,2,1,8,1,0,0,0,3,2,2,1,0,18,17,2,0,27,2,2,1,3,0,62,8,53,1,1,4
111,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,1,0
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,5,2,2,0,0,0,2,0,12,0,0,0
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
116,0,0,0,0,1,2,4,0,0,0,0,1,0,0,0,0,2,2,4,0,10,1,0,0,0,0,7,0,2,1,1,1
117,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,1,6,4,0,1,0,0,0,0,0,0,0,1,1,5,0,0,0,2,0,0,0,0,0,0,0,0,0
119,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
121,1,0,0,0,0,0,4,1,0,0,0,1,0,0,0,1,0,10,4,0,7,1,2,0,1,0,0,1,2,1,3,0
122,0,0,5,4,0,0,1,3,1,0,4,0,0,5,0,0,2,8,2,5,4,1,2,1,1,1,0,2,1,2,7,1
123,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
125,2,2,3,8,1,2,3,1,3,0,126,0,0,4,0,0,0,1,6,100,2,3,2,4,1,0,7,1,2,1,0,0
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,82,15,3,10,0,10,5,9,0,0,41904,3,0,5,3,0,15,11,1,50416,2,1,7,3812,4,3582,17,28,10,7,9,0
128,1,0,0,0,0,4,0,2,1,0,7,1,0,1,0,1,0,1,3,6,4,2,2,0,0,1,2,0,2,0,2,0
129,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26,0,8,0,0,0,1,0,2,0,0,0,0,0
131,183,146,5,42,486,573,338,181,227,106,131,57,232,43,13,78,1899,4087,3125,497,1471,3636,686,451,290,163,1867,430,2268,2931,888,1357
132,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
